                   MONTHLY CLIMATOLOGICAL SUMMARY for Jan 2009


NAME: Woodlands Farm, N2, Grahamstown, EC, South Africa                  
ELEV: 652 meters    LAT: 33-16.40 S    LONG: 026-37.40 E


                   TEMPERATURE (°C), RAIN (mm), WIND SPEED (km/h)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   17.5   24.0  13:00   14.9  01:05    0.8    0.0    0.0   24.3   47.5  17:55    119
 02   20.0   26.2  11:50   16.1  04:45    0.0    1.7    0.0   17.4   30.2  16:45    114
 03   18.9   24.1  14:25   15.6  23:15    0.0    0.6    0.0   11.2   33.5  15:30    221
 04   16.8   21.1  14:45   14.0  04:45    1.6    0.0    0.0   15.0   29.5  19:00    181
 05   17.6   24.1  13:35   14.0  02:35    0.7    0.0    0.0   20.4   33.8  16:30    124
 06   20.5   26.7  13:05   15.9  05:05    0.0    2.1    0.0   18.9   32.0  14:50    127
 07   21.3   27.3  15:35   16.9  01:30    0.0    3.0    0.0   21.3   33.8  16:15    105
 08   23.8   35.5  10:40   17.8  22:25    0.0    5.5    0.0   16.5   33.8  09:45    156
 09   20.5   29.4  12:20   17.4  06:10    0.0    2.2    0.0   14.2   29.5  15:05    199
 10   18.5   22.9  14:55   16.2  05:00    0.0    0.2    0.0    9.7   20.9  13:55    197
 11   18.8   24.9  12:35   15.4  03:20    0.0    0.5    0.0   16.1   26.3  16:35    123
 12   21.3   28.8  15:35   17.5  00:40    0.0    3.0    0.0   11.3   26.6  18:00    144
 13   23.3   33.1  15:05   17.4  03:35    0.0    5.0    0.0   14.0   26.6  17:00     98
 14   18.6   23.5  13:40   15.1  05:15    0.0    0.3    0.0   12.7   28.8  16:25    224
 15   16.9   21.2  15:10   14.3  04:50    1.4    0.0    7.0   14.7   24.8  16:10    143
 16   17.6   23.4  13:30   13.8  00:45    0.7    0.0    0.0   10.6   26.6  14:50    200
 17   17.7   25.5  13:05   13.6  23:40    0.7    0.0    0.0    8.4   19.1  16:30    226
 18   17.0   24.1  12:45   10.6  04:45    1.3    0.0    0.0   12.9   28.4  14:45    199
 19   16.7   23.1  12:00   12.0  04:50    1.7    0.0    0.0   12.1   27.4  14:10    214
 20   17.0   23.8  13:35   12.3  05:50    1.3    0.0    0.0   15.3   31.7  16:20    132
 21   19.8   27.8  13:35   13.6  05:10    0.0    1.5    0.0   21.7   37.1  13:45    110
 22   21.5   30.7  09:20   14.3  00:00    0.0    3.2    0.0   19.4   35.6  08:15    265
 23   17.3   23.7  13:45   12.9  05:00    1.0    0.0    0.0   14.2   28.4  14:40    230
 24   18.1   27.1  13:05   10.5  05:30    0.2    0.0    0.0   12.2   27.4  18:00    127
 25   20.9   29.0  13:10   14.1  02:00    0.0    2.5    0.0   13.0   27.4  16:20    162
 26   23.3   36.2  13:15   18.1  22:40    0.0    4.9    0.0   13.2   24.8  05:15    111
 27   17.3   21.1  16:00   14.1  22:35    1.1    0.0    0.1    8.7   18.4  17:45    227
 28   14.2   15.1  10:15   12.9  05:35    4.2    0.0   15.0   19.0   32.0  19:20    128
 29   20.8   29.5  16:05   14.4  00:20    0.0    2.5    0.0   12.1   27.4  00:30    106
 30   19.3   24.6  14:20   17.2  23:30    0.0    1.0    0.0   10.1   24.1  14:10    197
 31   17.8   23.5  13:45   13.9  23:35    0.5    0.0    5.0   11.0   23.8  16:25    196
---------------------------------------------------------------------------------------
      19.1   36.2     26   10.5     24   17.1   39.7   27.0   14.6   47.5     01    151
    
