                   MONTHLY CLIMATOLOGICAL SUMMARY for Sep 2010


NAME: Woodlands Farm, N2, Grahamstown, EC, South Africa                  
ELEV: 652 meters    LAT: 33-16.40 S    LONG: 026-37.40 E


                   TEMPERATURE (°C), RAIN (mm), WIND SPEED (km/h)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   13.7   23.1  13:15    8.2  04:50    4.7    0.0    0.0   11.0   23.4  17:00    221
 02   11.2   16.5  13:00    7.1  23:45    7.1    0.0    0.0   16.4   31.3  13:20    237
 03   12.1   20.1  14:30    6.1  06:45    6.2    0.0    0.0   10.9   25.2  16:55     80
 04   16.1   29.2  13:20    7.8  02:40    2.2    0.0    0.0   18.3   38.9  14:25    290
 05   16.4   26.5  15:30    6.1  03:00    1.9    0.0    0.0   10.4   18.4  17:00     37
 06   11.6   16.6  00:05    7.7  00:00    6.8    0.0    0.0   28.7   46.4  10:05    240
 07    9.7   15.7  14:50    6.3  02:50    8.6    0.0    0.0    9.9   22.7  16:40    173
 08   12.6   19.0  13:25    6.9  00:05    5.7    0.0    0.0   19.2   27.4  06:30    109
 09   14.9   23.4  12:45   10.8  04:25    3.4    0.0    0.0   18.3   36.0  20:45    244
 10   11.3   15.6  12:05    9.0  00:00    7.0    0.0    0.0   20.3   38.2  08:35    236
 11   13.8   22.8  16:25    5.3  04:20    4.5    0.0    0.0   13.0   36.7  08:55     44
 12   15.2   22.6  11:35    9.3  21:40    3.2    0.0    0.0   15.0   29.5  15:40    208
 13   18.8   29.3  13:15    9.7  06:50    0.0    0.5    0.0   12.2   23.8  04:05     91
 14   22.1   35.0  14:40   10.6  23:40    0.0    3.7    0.0   20.1   46.4  16:20    298
 15   11.0   18.2  13:05    6.6  20:45    7.4    0.0    0.0   20.0   35.6  22:10    236
 16    7.7   12.5  12:35    4.5  22:40   10.7    0.0    0.0   24.7   43.2  08:55    253
 17    9.9   15.8  13:10    3.6  08:35    8.4    0.0    0.0   22.6   40.7  12:00    105
 18   14.7   20.1  14:05   10.9  04:20    3.6    0.0    0.0   10.1   24.8  23:45    130
 19   17.7   23.9  13:40   14.0  23:15    0.6    0.0    0.0   20.5   34.9  09:20    115
 20   15.0   16.5  00:05   13.8  05:15    3.3    0.0    0.1   14.0   33.1  19:45    134
 21   12.8   17.4  13:45    8.5  23:50    5.6    0.0   15.9   14.9   28.1  08:40    285
 22   13.1   20.2  13:10    8.6  01:05    5.2    0.0    0.0   22.8   46.4  07:30    274
 23   16.1   27.8  15:00    8.8  00:50    2.3    0.0    0.0   19.1   40.0  18:40    278
 24   10.4   14.7  14:05    9.1  04:05    7.9    0.0    0.0   18.7   32.4  05:40    221
 25   12.4   17.1  13:15    8.8  04:25    5.9    0.0    0.0   17.6   43.6  19:40    105
 26   13.2   18.2  11:35    9.9  19:00    5.1    0.0    0.0   25.0   42.8  19:05    236
 27   10.7   16.3  14:05    7.1  23:25    7.7    0.0    0.0   24.8   41.0  10:10    248
 28   12.6   21.7  16:05    4.3  05:05    5.7    0.0    0.0   10.9   22.0  08:45     57
 29   19.1   29.5  15:40   11.3  05:55    0.0    0.8    0.0   12.6   38.9  10:30    323
 30   16.0   23.2  13:45    9.9  05:55    2.4    0.0    0.0   12.9   30.2  20:00    162
---------------------------------------------------------------------------------------
      13.7   35.0     14    3.6     17  143.1    5.0   16.0   17.2   46.4     06    226
    
