                   MONTHLY CLIMATOLOGICAL SUMMARY for Oct 2010


NAME: Woodlands Farm, N2, Grahamstown, EC, South Africa                  
ELEV: 652 meters    LAT: 33-16.40 S    LONG: 026-37.40 E


                   TEMPERATURE (°C), RAIN (mm), WIND SPEED (km/h)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   17.1   27.1  12:30   10.6  00:00    1.3    0.0    0.0   12.9   28.1  19:25    205
 02   13.3   18.3  12:00    8.2  05:15    5.1    0.0    0.1   14.9   25.9  14:05    162
 03   13.2   14.7  13:15   11.8  22:35    5.1    0.0    7.9   19.4   25.9  18:40    130
 04   12.6   15.4  10:45   11.4  02:35    5.7    0.0    0.0   24.1   38.5  20:50    111
 05   15.5   22.2  14:40   11.5  02:45    2.8    0.0    6.0   19.2   36.4  02:45     90
 06   18.2   25.6  14:00   13.8  03:10    0.1    0.0    0.0   15.5   26.6  14:40    104
 07   18.9   30.5  13:10   14.0  20:35    0.0    0.6    0.0   17.0   40.3  14:15    252
 08   14.5   22.4  12:10    9.4  23:50    3.9    0.0    0.0   15.1   39.2  14:50    227
 09   13.4   20.5  14:10    6.9  04:25    5.0    0.0    0.0   16.0   28.1  16:00    118
 10   15.2   26.4  10:35    8.6  22:20    3.1    0.0    0.0   14.6   36.7  14:20    224
 11   12.3   19.2  09:00    8.6  20:55    6.0    0.0    0.0   21.2   37.8  16:45    245
 12   10.0   14.5  14:10    5.5  23:55    8.3    0.0    0.0   19.6   31.7  05:35    229
 13   10.1   12.1  19:50    5.7  00:05    8.2    0.0    0.4   18.9   32.0  17:00    127
 14   11.2   12.9  04:20    9.6  20:25    7.1    0.0   54.6   22.2   43.9  10:15    212
 15   10.7   14.6  11:55    8.7  00:00    7.6    0.0    0.0   20.3   32.4  03:30    245
 16   11.9   17.9  14:00    8.1  00:25    6.4    0.0    0.0   12.5   27.4  17:55    103
 17   16.4   26.0  14:45    7.8  03:25    2.0    0.0    0.0   14.3   29.2  10:15     75
 18   19.8   33.9  13:50   11.8  23:55    0.0    1.5    0.0   17.8   38.5  15:00    269
 19   13.8   20.7  13:20   10.5  23:15    4.5    0.0    0.0   17.6   35.3  04:45    224
 20   17.9   28.1  13:10    8.3  05:20    0.5    0.0    0.0   11.8   25.6  15:15     84
 21   15.8   21.8  13:55   11.8  05:20    2.5    0.0    0.0   19.7   29.9  05:00    205
 22   12.4   14.0  05:20   11.0  23:45    5.9    0.0    0.0   12.5   23.4  04:05    189
 23   11.1   12.5  10:30   10.1  18:25    7.2    0.0    0.2   15.4   24.8  16:40    140
 24   14.2   18.9  14:50   11.4  00:05    4.1    0.0   34.8   16.5   27.4  22:25    157
 25   10.9   12.7  00:05    8.7  22:50    7.4    0.0    7.0   22.9   38.9  08:35    235
 26   11.4   16.4  12:45    7.3  04:45    7.0    0.0    0.2   14.7   27.7  14:55    158
 27   15.0   22.3  13:20    9.3  04:30    3.3    0.0   35.8   16.1   32.4  16:10    117
 28   13.2   15.5  14:30   11.0  22:55    5.2    0.0    4.0   16.3   39.2  00:50    140
 29   15.7   23.7  15:10   10.2  05:15    2.6    0.0    0.0   11.9   20.9  15:55    260
 30   14.6   19.5  11:30   11.0  04:50    3.7    0.0    0.0   16.5   24.1  13:55    199
 31   14.3   15.7  13:10   13.0  01:40    4.0    0.0    0.0   17.4   22.7  19:10    125
---------------------------------------------------------------------------------------
      14.0   33.9     18    5.5     12  135.6    2.1  151.0   16.9   43.9     14    168
    
