                   MONTHLY CLIMATOLOGICAL SUMMARY for Nov 2011


NAME: Woodlands Farm, N2, Grahamstown, EC, South Africa                  
ELEV: 652 meters    LAT: 33-16.40 S    LONG: 026-37.40 E


                   TEMPERATURE (°C), RAIN (mm), WIND SPEED (km/h)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   12.4   17.5  13:35    9.5  02:10    6.0    0.0    0.0   18.6   32.8  00:05    244
 02   13.9   19.7  13:30    7.9  02:45    4.4    0.0    0.0   17.6   31.7  10:05    258
 03   17.9   30.7  13:35    9.5  02:55    0.4    0.0    0.0   15.0   32.0  13:50    245
 04   13.8   20.0  13:35   11.0  23:15    4.5    0.0    0.0   22.1   33.1  07:40    231
 05   13.8   19.5  13:10    8.9  04:35    4.6    0.0    3.0   18.7   33.5  10:50    251
 06   13.7   19.7  13:50    6.9  03:40    4.7    0.0    0.0   16.6   30.6  07:50    254
 07   20.9   33.0  16:00    9.1  04:20    0.0    2.6    0.0   14.8   29.2  13:05    349
 08   18.6   25.1  13:00   12.1  22:25    0.0    0.2    0.0   16.3   29.9  15:40    209
 09   14.8   22.3  13:20   10.6  02:35    3.6    0.0    0.0   11.7   29.5  14:40    184
 10   11.8   15.5  10:50   10.5  02:35    6.5    0.0    0.0   21.4   37.8  10:40    223
 11   14.0   19.6  14:10    9.7  01:50    4.3    0.0    0.0   18.1   34.6  08:25    113
 12   12.9   15.9  15:10   10.6  03:40    5.4    0.0    0.7   17.1   27.7  10:05    221
 13   14.7   22.6  12:20   10.7  23:15    3.6    0.0   49.3   19.1   51.1  20:40    173
 14   12.7   18.6  14:40    8.4  05:25    5.6    0.0    0.0   16.2   38.2  00:05    244
 15   14.8   21.6  14:25   10.6  00:00    3.5    0.0    0.0    9.2   27.0  16:30    155
 16   15.0   19.5  11:40   10.5  00:05    3.3    0.0    0.0   16.1   27.7  16:25    148
 17   14.5   16.5  13:25   12.9  05:40    3.9    0.0    0.1   18.1   26.3  16:15    127
 18   14.2   15.9  10:30   11.6  23:40    4.1    0.0    6.9   16.5   25.6  12:15    142
 19   15.9   22.0  13:40   11.4  00:05    2.4    0.0    0.0   22.5   32.8  08:55     97
 20   18.1   30.1  10:30   13.9  05:05    0.2    0.0    0.0   14.9   38.2  11:25     76
 21   13.6   16.4  13:05   11.1  08:45    4.8    0.0    3.0   23.8   43.6  08:45    223
 22   12.8   18.0  11:20    7.8  04:45    5.5    0.0    0.0   11.3   29.2  16:10    155
 23   13.2   20.1  12:35    8.9  00:55    5.1    0.0    0.3   16.6   38.5  17:45    226
 24   10.5   14.1  13:05    6.3  00:00    7.9    0.0   20.7   18.2   33.5  10:15    195
 25   12.8   20.4  13:25    6.2  04:40    5.5    0.0    0.0    9.4   23.4  14:50    126
 26   14.3   20.7  12:45    8.0  03:55    4.0    0.0    0.8   14.6   27.0  15:20    144
 27   13.2   14.8  14:45   11.5  00:00    5.2    0.0   59.2   20.8   36.7  19:55    137
 28   13.5   18.1  13:55   10.4  03:35    4.9    0.0    0.0   13.1   33.5  00:15    140
 29   18.7   28.2  14:55   10.7  04:20    0.0    0.4    0.0   12.8   23.8  16:20     67
 30   20.2   26.0  13:05   14.7  21:10    0.0    1.8    0.5   17.0   34.6  16:15    196
---------------------------------------------------------------------------------------
      14.7   33.0     07    6.2     25  113.7    5.0  144.5   16.6   51.1     13    186
    
