                   MONTHLY CLIMATOLOGICAL SUMMARY for Mar 2012


NAME: Woodlands Farm, N2, Grahamstown, EC, South Africa                  
ELEV: 652 meters    LAT: 33-16.40 S    LONG: 026-37.40 E


                   TEMPERATURE (°C), RAIN (mm), WIND SPEED (km/h)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   20.7   28.3  14:30   15.7  03:35    0.0    2.4    0.0   11.2   22.0  17:00    152
 02   20.6   27.1  13:40   15.2  05:10    0.0    2.3    0.0   12.8   25.9  16:25    126
 03   24.5   34.6  15:00   18.1  23:45    0.0    6.2    0.0   12.1   21.6  16:50     75
 04   17.9   22.0  14:00   15.1  23:00    0.4    0.0    0.0   21.2   34.6  18:50    223
 05   15.4   19.2  12:10   12.8  22:45    2.9    0.0    0.0   19.8   33.1  11:25    217
 06   16.2   20.7  12:05   13.4  02:45    2.1    0.0    0.0   17.7   33.5  23:35    119
 07   19.2   28.2  12:50   12.5  05:55    0.0    0.9    0.0   14.2   28.8  01:05    192
 08   19.4   28.0  14:00   11.2  06:20    0.0    1.0    0.0   15.3   29.5  15:30    109
 09   19.1   23.5  13:55   17.4  05:50    0.0    0.7    0.0   13.8   23.8  00:40    211
 10   19.5   24.1  14:35   17.2  00:00    0.0    1.1    0.1   15.9   25.2  13:45    186
 11   18.3   22.6  12:55   16.6  23:55    0.0    0.0    5.9   17.6   29.9  22:00    123
 12   20.3   27.9  14:10   15.6  23:35    0.0    1.9    0.0   15.5   25.6  16:50     89
 13   19.6   26.8  14:00   14.9  06:05    0.0    1.3    0.0   13.0   28.1  15:20    126
 14   21.1   28.4  14:10   16.5  23:55    0.0    2.8    0.0   20.6   31.3  09:05     92
 15   21.0   30.5  14:45   13.7  04:30    0.0    2.7    0.0    7.8   21.6  16:30    256
 16   19.2   23.7  15:25   15.4  22:15    0.0    0.9    0.2   15.1   29.2  16:25    231
 17   13.6   17.4  14:20   10.2  00:00    4.7    0.0   14.8   21.7   38.2  04:40    235
 18   14.6   22.3  16:30    7.0  05:55    3.8    0.0    0.0   12.1   21.6  09:05    310
 19   17.4   24.8  14:40   10.8  02:05    0.9    0.0    0.0   17.3   32.0  10:40    245
 20   18.4   25.0  13:35   13.1  04:15    0.0    0.1    0.0   13.3   30.2  20:55    106
 21   20.2   33.2  12:25   15.1  06:10    0.0    1.8    0.0   17.7   40.0  17:35    257
 22   17.6   23.4  13:10   13.3  05:50    0.8    0.0    0.4   14.2   31.3  16:00    126
 23   19.1   23.5  13:05   16.4  00:05    0.0    0.8   25.6   18.3   33.1  22:40    120
 24   17.4   21.1  13:50   15.7  04:15    0.9    0.0    0.2   17.7   31.3  00:25    122
 25   18.7   27.2  12:50   14.4  05:30    0.0    0.4   13.8   11.9   29.5  12:05    332
 26   18.5   24.4  14:20   15.3  02:25    0.0    0.2    0.0   11.6   22.7  06:20    203
 27   17.5   22.2  09:25   15.0  05:55    0.8    0.0    0.0   11.8   29.5  12:55    236
 28   17.4   19.3  15:40   15.8  00:15    1.0    0.0    0.0   14.0   25.2  04:20     28
 29   19.6   23.4  13:10   16.6  02:45    0.0    1.3    0.0   10.2   25.2  19:30     15
 30   16.0   19.6  09:40   12.2  22:50    2.3    0.0    0.0   19.0   33.1  18:05    242
 31   12.0   14.5  11:45    9.8  20:50    6.3    0.0    0.0   17.6   33.8  04:35    199
---------------------------------------------------------------------------------------
      18.4   34.6     03    7.0     18   27.0   28.8   61.0   15.2   40.0     21    172
    
