                   MONTHLY CLIMATOLOGICAL SUMMARY for Apr 2013


NAME: Woodlands Farm, N2, Grahamstown, EC, South Africa                  
ELEV: 652 meters    LAT: 33-16.40 S    LONG: 026-37.40 E


                   TEMPERATURE (°C), RAIN (mm), WIND SPEED (km/h)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   17.8   20.6  15:35   14.8  22:30    0.5    0.0    0.2   13.9   31.7  09:35     24
 02   16.4   21.7  11:05   12.5  00:00    1.9    0.0   11.7   24.9   41.4  10:20    282
 03   12.4   16.2  12:55    8.8  22:35    5.9    0.0    0.0   17.6   28.8  15:15    228
 04   12.9   20.6  14:50    6.5  05:30    5.4    0.0    0.0    9.6   16.6  17:30     18
 05   16.1   25.6  15:25    7.8  04:45    2.2    0.0    0.0   10.8   22.7  12:05    299
 06   17.8   26.9  14:40   12.8  04:10    0.5    0.0    0.0   15.0   31.3  12:05    273
 07   16.4   24.6  13:40   11.8  04:50    2.0    0.0    0.0    8.2   19.1  17:05    180
 08   15.2   24.2  14:20   10.2  06:40    3.2    0.0    0.0   13.6   31.7  13:55    252
 09   12.0   16.1  10:55    9.2  23:55    6.3    0.0    0.0   19.9   36.7  20:20    234
 10    9.8   14.0  15:20    7.3  23:00    8.5    0.0    0.0   18.4   31.3  00:20    260
 11   11.3   17.2  14:15    8.2  04:40    7.0    0.0    0.0   10.3   23.8  16:50    171
 12   13.6   19.5  14:25    8.8  05:35    4.8    0.0    0.0   14.8   26.6  15:40    114
 13   16.4   23.3  14:45   10.2  06:55    2.0    0.0    0.0   10.0   23.0  01:55    107
 14   19.6   28.4  15:10   12.3  05:50    0.0    1.3    0.0    9.6   25.2  10:25    301
 15   19.6   26.7  12:35   13.2  04:40    0.0    1.3    0.0    7.2   15.1  15:15    102
 16   22.9   30.9  12:40   16.2  02:05    0.0    4.6    0.0   15.2   34.6  10:50    327
 17   20.7   27.0  12:15   15.3  23:45    0.0    2.4    0.0   15.1   31.0  12:10    311
 18   12.2   16.1  11:05    7.9  23:40    6.2    0.0    0.0   21.2   43.9  13:05    266
 19   10.4   13.2  11:05    8.1  00:05    8.0    0.0    0.0   13.2   24.8  13:10    166
 20   12.0   13.9  10:35   10.6  00:20    6.3    0.0    0.0   12.3   27.0  14:30    125
 21   12.7   16.3  12:50   10.0  23:40    5.7    0.0    0.6   16.1   30.2  14:25    221
 22   13.3   19.7  15:00    7.7  06:00    5.1    0.0   27.4   12.4   22.0  23:15    280
 23   14.5   18.9  15:35   11.2  23:55    3.8    0.0    0.0    8.7   23.8  00:35    244
 24   17.3   26.0  15:35   11.0  06:30    1.0    0.0    0.0    9.3   18.4  10:50    327
 25   20.0   27.9  15:00   14.7  03:10    0.0    1.7    0.0    9.4   21.2  12:15    323
 26   21.7   29.4  14:50   14.9  06:15    0.0    3.3    0.0   12.5   24.1  12:55    316
 27   22.1   30.0  15:05   14.3  02:55    0.0    3.7    0.0   11.6   27.4  12:05    327
 28   18.3   26.1  11:00   13.2  20:20    0.0    0.0    0.0   17.5   28.8  18:35    264
 29   14.2   19.9  14:05   10.2  22:40    4.1    0.0    0.0   11.1   20.9  09:20    243
 30   16.2   25.1  14:45    9.2  06:55    2.2    0.0    0.0   10.5   19.8  14:10     29
---------------------------------------------------------------------------------------
      15.9   30.9     16    6.5     04   92.6   18.4   40.0   13.3   43.9     18    270
    
