                   MONTHLY CLIMATOLOGICAL SUMMARY for May 2016


NAME: Woodlands Farm, N2, Grahamstown, EC, South Africa                  
ELEV: 652 meters    LAT: 33-16.40 S    LONG: 026-37.40 E


                   TEMPERATURE (°C), RAIN (mm), WIND SPEED (km/h)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   10.0   17.4  14:55    4.5  06:20    8.4    0.0    0.0   10.9   24.1  10:25    296
 02   12.9   18.9  13:50    5.1  03:00    5.4    0.0    0.0   14.8   29.2  09:55    250
 03   12.0   15.6  15:05    8.9  04:35    6.4    0.0    0.0   16.5   33.5  11:10    256
 04   13.2   19.5  16:05    7.7  22:45    5.1    0.0    0.0    8.6   16.6  03:05    254
 05   14.5   24.4  14:35    7.7  07:20    3.8    0.0    0.0    8.1   15.1  18:20    287
 06   13.9   19.6  13:00   10.1  04:25    4.4    0.0    0.6   12.9   28.1  15:00    132
 07   12.3   13.7  12:20   11.1  06:20    6.0    0.0   14.4   27.7   34.9  22:50     95
 08   13.8   16.4  12:30   12.4  00:15    4.5    0.0    0.0   30.1   39.6  09:10     71
 09   17.4   24.2  14:40   11.4  06:00    1.0    0.0    0.0   14.9   25.9  11:45    343
 10   16.1   22.2  13:25   11.2  00:00    2.3    0.0    0.0   12.2   23.0  09:45    287
 11   14.9   22.2  15:05    8.5  02:45    3.4    0.0    0.0    8.6   15.5  17:30    359
 12   18.2   26.0  15:30    9.6  02:45    0.2    0.0    0.0   13.8   25.9  22:10    312
 13   16.9   21.9  14:30   13.3  00:00    1.5    0.0    0.0   12.3   26.3  04:45    294
 14   15.3   21.6  14:50   11.0  04:20    3.1    0.0    0.0    8.0   15.8  15:30    193
 15   16.0   24.4  14:50    9.7  03:05    2.4    0.0    0.0    8.4   19.4  12:25    299
 16   15.7   23.3  14:25   11.1  04:45    2.7    0.0    0.0    9.5   19.4  16:05    231
 17   16.6   22.0  13:50   13.2  05:50    1.8    0.0    0.0   15.5   31.0  10:35     72
 18   20.1   27.4  15:00   13.0  03:50    0.0    1.8    0.0   18.3   35.6  10:35    319
 19   13.0   21.7  00:50    8.9  00:00    5.3    0.0    0.0   18.7   32.4  17:15    220
 20   11.4   16.9  13:55    5.8  05:15    7.0    0.0    0.0   14.3   28.1  13:20     70
 21   17.2   27.7  14:20    9.4  03:05    1.1    0.0    0.0   16.1   35.3  13:35    289
 22   18.1   26.7  15:05   10.9  04:50    0.2    0.0    0.0   13.8   27.7  11:55    325
 23   21.8   26.8  12:55   17.5  04:00    0.0    3.4    0.0   21.4   34.9  05:50    316
 24   13.5   19.7  00:05    6.7  00:00    4.8    0.0    0.0   14.0   26.3  09:50    235
 25   10.9   13.6  15:40    7.4  00:35    7.4    0.0    0.0   10.3   20.9  04:45    268
 26   13.2   21.2  15:20    7.4  04:15    5.1    0.0    0.0    9.3   22.3  12:55    332
 27   17.2   24.9  14:15   10.5  04:15    1.1    0.0    0.0   12.8   28.4  13:40    289
 28   18.0   25.7  14:35    9.1  06:35    0.4    0.0    0.0   11.4   25.9  12:20    313
 29   18.6   25.6  14:10   11.4  06:30    0.0    0.3    0.0   14.8   29.5  11:30    303
 30   18.4   25.0  15:00   11.8  04:45    0.0    0.1    0.0   15.3   32.4  10:20    321
 31   18.2   25.2  14:40   11.9  06:00    0.1    0.0    0.0   17.5   46.8  14:05    313
---------------------------------------------------------------------------------------
      15.5   27.7     21    4.5     01   94.8    5.5   15.0   14.2   46.8     31    313
    
