                   MONTHLY CLIMATOLOGICAL SUMMARY for Feb 2020


NAME: Woodlands Farm, N2, Grahamstown, EC, South Africa                  
ELEV: 652 meters    LAT: 33-16.40 S    LONG: 026-37.40 E


                   TEMPERATURE (°C), RAIN (mm), WIND SPEED (km/h)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   21.0   25.7  14:15   18.1  04:55    0.0    2.6    0.0   16.1   28.4  15:20    144
 02   24.0   32.2  14:55   19.8  05:55    0.0    5.6    6.0   11.7   27.0  16:55     14
 03   26.8   34.1  14:15   20.7  04:15    0.0    8.5   12.5   14.7   27.0  01:50    262
 04   27.9   35.4  13:20   18.6  22:00    0.0    9.6    0.0   13.6   41.8  21:45     96
 05   25.5   35.5  14:15   16.0  22:55    0.0    7.2    0.1   21.4   33.5  17:40    261
 06   15.8   18.0  02:15   13.6  23:55    2.6    0.0   17.0   20.0   33.1  23:55    195
 07   15.5   17.1  21:05   13.6  00:05    2.8    0.0   21.9   21.5   43.9  21:50    104
 08   18.0   21.8  16:15   15.8  05:25    0.3    0.0    6.5   17.5   32.8  03:00    105
 09   18.7   24.2  13:40   14.9  05:25    0.0    0.4    0.0   12.3   27.4  15:55    128
 10   18.3   22.8  13:00   15.5  21:45    0.0    0.0    0.0   14.7   30.2  16:15    118
 11   18.9   24.4  13:25   15.0  06:35    0.0    0.6    0.0   20.4   29.5  22:10    105
 12   20.8   28.0  15:20   16.1  06:00    0.0    2.5    0.0   17.2   28.1  01:05     95
 13   21.8   30.8  13:50   15.7  05:15    0.0    3.5    0.0   14.5   28.4  11:50    244
 14   20.5   26.2  14:45   16.2  06:15    0.0    2.2    0.0   13.9   29.2  00:40    162
 15   22.2   28.3  15:15   18.6  00:10    0.0    3.9    0.0   13.2   24.5  10:25    101
 16   27.3   34.9  15:10   20.6  02:15    0.0    8.9    0.0   15.6   39.2  22:40    315
 17   19.3   22.6  14:30   16.4  23:40    0.0    1.0    0.1   18.6   35.3  14:25    206
 18   16.4   17.9  14:30   15.7  21:30    1.9    0.0   17.4   21.2   35.3  13:50    101
 19   20.7   28.0  16:45   15.6  01:55    0.0    2.4    0.0   14.4   26.6  05:05     75
 20   22.1   27.5  11:30   18.1  00:00    0.0    3.7    0.0   19.8   37.1  16:15    242
 21   21.1   29.5  15:40   17.0  06:25    0.0    2.8   12.5   10.1   36.7  18:45    120
 22   18.6   22.2  13:40   13.8  00:00    0.0    0.3    0.0   20.4   42.5  15:55    215
 23   14.0   18.2  13:10   10.3  06:20    4.3    0.0    8.0   14.8   39.6  00:10    180
 24   15.7   22.8  15:25   10.4  05:05    2.6    0.0    0.0    9.9   23.0  17:30    116
 25   21.3   31.1  16:20   13.2  03:10    0.0    2.9    0.0   11.6   22.7  09:10     67
 26   23.3   31.5  11:20   18.1  23:55    0.0    4.9    0.0   15.0   33.1  14:25    235
 27   16.2   18.2  00:30   14.1  22:40    2.1    0.0   13.0   16.0   29.2  21:35    202
 28   13.4   15.2  16:15   12.4  04:50    4.9    0.0    0.0   18.3   30.2  00:40    154
 29   15.6   21.2  13:50   11.4  04:10    2.8    0.0    0.0   18.4   29.5  15:00    104
---------------------------------------------------------------------------------------
      20.0   35.5     05   10.3     23   24.4   73.5  115.0   16.1   43.9     07    140
    
