                   MONTHLY CLIMATOLOGICAL SUMMARY for Jun 2020


NAME: Woodlands Farm, N2, Grahamstown, EC, South Africa                  
ELEV: 652 meters    LAT: 33-16.40 S    LONG: 026-37.40 E


                   TEMPERATURE (°C), RAIN (mm), WIND SPEED (km/h)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   17.7   27.3  13:55   11.5  22:05    0.6    0.0    0.0   14.1   22.0  06:35    314
 02   19.5   28.5  14:35   10.6  03:20    0.0    1.1    0.0   16.9   31.0  12:15    324
 03   14.7   19.6  01:45   11.1  04:50    3.7    0.0    0.0   13.1   25.2  09:10    220
 04   14.8   20.9  15:55   10.5  03:10    3.5    0.0    0.0    9.5   18.4  10:05     66
 05   18.1   25.5  15:20   12.9  02:30    0.2    0.0    0.0   10.9   19.4  12:20    333
 06   16.8   25.4  14:30   10.1  08:00    1.5    0.0    0.0   12.1   22.7  14:55    306
 07   17.3   25.5  14:10   10.5  01:45    1.0    0.0    0.0   12.4   21.6  13:35    310
 08   18.7   25.8  13:50   11.2  07:10    0.0    0.4    0.0   13.1   20.5  12:20    332
 09   18.4   24.7  14:30   13.2  06:15    0.0    0.0    0.0   19.4   41.0  15:35    334
 10   19.3   25.5  15:50   13.9  22:35    0.0    0.9    0.0   30.0   57.2  11:45    316
 11   10.8   14.1  00:05    7.2  23:50    7.5    0.0    5.0   37.6   59.8  13:50    296
 12    7.7   12.6  15:25    4.8  02:50   10.6    0.0    0.0   24.3   42.8  01:20    286
 13    8.8   14.9  14:50    4.2  06:50    9.5    0.0    0.0   16.0   27.7  11:10    299
 14   10.2   16.7  15:05    3.7  03:30    8.1    0.0    0.0   18.7   38.2  12:25    292
 15   10.0   14.4  14:15    5.6  01:50    8.4    0.0    0.0   10.2   17.6  10:20    245
 16   10.4   15.7  14:50    5.6  07:45    7.9    0.0    0.0   11.1   25.9  21:20     90
 17   11.1   18.0  15:40    5.1  07:45    7.2    0.0    0.0   10.0   20.2  00:30      7
 18   12.8   20.4  15:20    5.3  05:10    5.6    0.0    0.0   11.8   18.7  11:05    359
 19   14.6   21.6  15:25    8.4  07:40    3.7    0.0    0.0   16.4   31.7  13:30    326
 20   16.2   23.1  14:25   11.5  05:50    2.1    0.0    0.0   20.2   38.5  11:10    320
 21   14.5   19.1  14:30   10.5  23:45    3.9    0.0    0.0   15.7   25.6  11:45    256
 22   12.7   20.2  14:10    7.2  03:25    5.6    0.0    0.0   10.1   28.8  15:30    309
 23   15.8   24.0  14:30    8.3  03:25    2.5    0.0    0.0   16.4   35.3  11:10    320
 24   17.8   25.3  14:20   10.7  00:45    0.6    0.0    0.0   18.1   34.9  12:00    328
 25   17.8   23.9  15:00   12.5  02:25    0.6    0.0    0.0   22.9   42.1  11:45    328
 26   14.2   20.7  13:45    6.8  00:00    4.1    0.0    0.0   18.9   34.6  10:55    282
 27   12.9   20.9  15:35    5.0  03:50    5.5    0.0    0.0   29.5   53.3  16:20    309
 28   11.4   16.2  13:05    8.2  23:55    7.0    0.0    0.0   26.3   50.0  10:55    271
 29   10.7   16.4  14:25    4.4  04:25    7.6    0.0    0.0   21.9   42.5  10:55    280
 30   11.3   16.3  15:05    9.2  07:05    7.0    0.0    0.0   10.5   20.5  19:55     28
---------------------------------------------------------------------------------------
      14.2   28.5     02    3.7     14  125.6    2.5    5.0   17.3   59.8     11    307
    
