                   MONTHLY CLIMATOLOGICAL SUMMARY for Jul 2020


NAME: Woodlands Farm, N2, Grahamstown, EC, South Africa                  
ELEV: 652 meters    LAT: 33-16.40 S    LONG: 026-37.40 E


                   TEMPERATURE (°C), RAIN (mm), WIND SPEED (km/h)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   14.8   23.5  15:25    7.3  02:25    3.6    0.0    0.0   16.2   35.6  13:10    303
 02   14.2   22.4  13:55    6.7  04:55    4.1    0.0    0.0   20.3   41.4  15:15    277
 03   11.1   16.9  14:45    6.5  04:15    7.2    0.0    0.0   12.6   24.5  11:45    273
 04   12.1   21.5  14:20    5.0  03:55    6.3    0.0    0.0   17.5   38.2  12:40    288
 05   12.6   21.6  15:30    4.8  04:00    5.8    0.0    0.0   17.3   33.5  11:10    265
 06   14.8   24.2  15:30    6.6  05:05    3.5    0.0    0.0   15.7   31.7  15:25    324
 07   11.7   17.2  00:40    6.8  23:50    6.6    0.0    0.0   19.8   41.0  06:10    240
 08   12.7   20.8  15:25    4.5  01:15    5.6    0.0    0.0   15.3   31.3  11:00     22
 09   20.0   25.6  15:35   11.4  00:00    0.0    1.7    0.0   40.3   79.6  15:10    337
 10   12.7   18.1  14:30    8.6  07:50    5.7    0.0    0.0   13.4   30.2  23:55    160
 11    9.2   13.1  12:45    4.2  23:10    9.2    0.0    0.0   31.9   57.2  10:10    286
 12    8.7   16.0  15:35    1.3  06:45    9.6    0.0    0.0   15.4   32.0  23:55    346
 13   15.1   21.2  13:40    8.9  23:55    3.2    0.0    0.0   42.5   63.0  07:10    306
 14    7.0   10.1  12:00    4.2  23:45   11.4    0.0    0.0   32.4   56.5  10:00    278
 15    7.4   14.4  15:10    2.2  04:55   11.0    0.0    0.0   15.5   31.0  11:00    301
 16   11.0   19.7  15:10    2.4  04:40    7.4    0.0    0.0   12.5   23.4  13:20    299
 17   14.8   23.4  15:10    6.2  05:40    3.5    0.0    0.0   16.8   30.2  14:05    319
 18   16.4   24.9  14:50   10.0  23:55    1.9    0.0    0.0   22.0   40.0  13:40    304
 19   13.1   20.7  14:35    6.0  08:05    5.2    0.0    0.0    8.8   14.8  03:35     26
 20   15.4   24.4  14:15    7.7  04:20    2.9    0.0    0.0   12.5   23.8  15:00    298
 21   15.1   24.4  15:25    8.0  07:55    3.2    0.0    0.0   12.4   27.7  15:30    353
 22   15.9   24.8  15:10    8.3  07:55    2.4    0.0    0.0   10.1   21.2  15:30    276
 23   17.5   25.3  14:05   10.7  00:30    0.9    0.0    0.0    9.8   14.4  17:55    356
 24   17.3   24.4  15:20    8.9  08:20    1.1    0.0    0.0   11.3   22.7  14:00    321
 25   17.2   23.8  14:20   10.6  07:35    1.1    0.0    0.0   16.8   33.8  12:50    318
 26   12.4   16.8  11:25    7.8  23:55    5.9    0.0    0.0   21.4   39.6  14:10    244
 27    9.4   15.2  15:25    3.7  05:55    8.9    0.0    0.0   10.1   24.5  20:50     67
 28   13.8   22.7  15:00    5.0  03:40    4.6    0.0    0.0   17.2   37.4  15:40    290
 29   11.5   18.6  15:35    6.2  23:10    6.8    0.0    0.0   11.4   22.0  14:45    249
 30   11.4   17.8  13:55    5.1  07:15    6.9    0.0    0.0   17.2   36.7  11:40    260
 31   12.5   22.6  16:20    4.4  07:05    5.9    0.0    0.0   10.8   23.4  12:45    286
---------------------------------------------------------------------------------------
      13.2   25.6     09    1.3     12  161.3    1.7    0.0   17.7   79.6     09    298
    
