                   MONTHLY CLIMATOLOGICAL SUMMARY for Dec 2023


NAME: Woodlands Farm, N2, Grahamstown, EC, South Africa                  
ELEV: 652 meters    LAT: 33-16.40 S    LONG: 026-37.40 E


                   TEMPERATURE (°C), RAIN (mm), WIND SPEED (km/h)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   16.8   21.0  13:05   13.8  04:35    1.5    0.0    2.5   17.4   27.6  15:25    172
 02   17.4   22.4  13:40   13.8  04:50    0.9    0.0    0.0   16.1   22.9  16:00    165
 03   16.6   21.2  13:40   13.7  04:45    1.7    0.0    0.5   17.3   26.5  15:20    189
 04   15.5   19.2  12:50   13.3  02:50    2.9    0.0    0.0   17.3   23.8  16:40    167
 05   16.3   20.9  14:15   12.7  03:55    2.1    0.0    4.0   19.1   25.2  18:25    149
 06   18.5   25.3  13:25   13.7  05:10    0.0    0.2    0.0   19.4   26.3  17:05    155
 07   18.3   23.7  13:30   14.4  05:00    0.1    0.0    0.0   17.0   23.5  17:25    156
 08   18.3   23.7  13:20   14.7  04:40    0.1    0.0    0.0   14.7   23.3  14:10    171
 09   16.9   21.4  11:50   14.1  00:00    1.4    0.0    0.1   17.6   25.8  15:45    160
 10   16.4   20.3  14:25   13.3  04:35    1.9    0.0   28.4   14.8   22.2  15:30    141
 11   16.7   21.6  13:55   13.5  05:05    1.6    0.0    0.0   15.6   23.8  16:10    145
 12   17.0   22.2  13:40   13.5  05:05    1.3    0.0    0.0   18.4   27.5  15:30    160
 13   17.2   22.4  13:10   13.6  04:05    1.1    0.0    5.5   16.2   24.1  16:00    162
 14   17.5   22.6  13:30   13.6  04:40    0.9    0.0    0.0   17.0   27.2  16:35    160
 15   16.8   21.6  12:20   13.3  05:05    1.5    0.0    0.0   16.6   23.3  14:45    189
 16   17.0   21.8  14:20   13.3  04:55    1.3    0.0    0.0   16.1   25.2  15:10    165
 17   19.2   25.5  13:55   13.6  04:10    0.0    0.8    0.0   14.5   23.6  17:25    163
 18   19.5   25.6  12:40   15.1  05:10    0.0    1.2    0.0   16.1   26.0  15:25    164
 19   18.9   24.0  14:40   15.7  05:10    0.0    0.6    5.0   15.0   25.4  16:30    188
 20   18.5   23.1  13:35   15.2  05:05    0.0    0.2    0.0   15.1   24.3  15:45    148
 21   19.7   25.9  13:00   15.2  04:45    0.0    1.4    0.0   15.6   26.6  16:00    166
 22   19.6   24.5  13:30   15.7  05:15    0.0    1.3    0.0   14.0   22.2  14:45    164
 23   20.0   25.7  13:50   15.9  04:45    0.0    1.7    0.0   15.3   24.4  15:40    193
 24   17.8   21.9  13:30   15.2  04:50    0.5    0.0    0.0   16.6   23.7  16:25    180
 25   18.1   23.3  13:15   14.3  05:20    0.2    0.0    0.0   16.7   27.2  16:15    162
 26   19.3   25.2  13:20   15.1  05:15    0.0    1.0    0.1   15.5   22.8  16:15    159
 27   19.4   25.9  13:55   14.6  05:00    0.0    1.0   18.4   16.6   25.9  16:10    190
 28   17.8   22.3  13:55   14.8  05:05    0.5    0.0    0.0   16.9   25.0  16:20    173
 29   19.0   24.5  13:30   15.0  05:00    0.0    0.7    0.0   16.2   25.6  15:45    148
 30   19.9   25.7  13:55   15.8  04:35    0.0    1.6    2.0   16.0   25.4  15:05    163
 31   19.7   24.4  12:55   16.2  04:15    0.0    1.3    4.0   16.1   23.3  16:40    146
---------------------------------------------------------------------------------------
      18.0   25.9     21   12.7     05   21.6   12.8   70.5   16.3   27.6     01    165
    
