                   MONTHLY CLIMATOLOGICAL SUMMARY for Aug 2024


NAME: Woodlands Farm, N2, Grahamstown, EC, South Africa                  
ELEV: 652 meters    LAT: 33-16.40 S    LONG: 026-37.40 E


                   TEMPERATURE (°C), RAIN (mm), WIND SPEED (km/h)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   12.7   18.6  13:55    9.0  06:50    5.6    0.0    0.0   14.6   22.5  12:40    228
 02   14.0   20.5  15:05    9.7  06:15    4.3    0.0    0.0   14.2   22.6  12:45    237
 03   14.8   21.9  14:30   10.1  06:50    3.5    0.0    0.0   15.1   23.6  13:50    238
 04   14.2   19.5  14:05   10.9  07:00    4.1    0.0    0.0   16.1   23.4  14:35    238
 05   11.9   16.8  14:10    9.0  23:40    6.4    0.0    0.0   15.1   21.9  11:50    235
 06   11.2   16.8  14:40    7.7  06:55    7.2    0.0    0.0   14.5   19.9  12:30    240
 07   12.4   18.3  15:05    8.1  06:50    6.0    0.0    0.0   14.3   19.0  12:25    202
 08   12.5   17.9  14:00    9.6  00:00    5.8    0.0    0.0   18.1   24.6  12:35    235
 09   11.4   16.4  14:15    7.6  07:15    6.9    0.0    0.0   18.2   27.1  12:20    255
 10   11.8   17.2  15:30    7.9  07:25    6.5    0.0    0.0   15.2   22.5  11:50    230
 11   13.0   19.7  14:30    8.5  00:45    5.3    0.0    0.0   16.7   23.5  11:55    228
 12   12.7   17.5  14:45    9.5  06:55    5.7    0.0    0.0   18.5   26.5  11:25    264
 13   11.6   17.2  13:45    8.4  23:35    6.7    0.0    0.0   16.5   24.7  14:15    236
 14   11.5   17.7  14:25    7.2  06:55    6.8    0.0    0.0   15.9   24.6  11:30    233
 15   11.7   17.5  13:30    8.0  03:15    6.6    0.0    0.0   15.7   21.5  13:35    223
 16   12.2   17.8  14:35    8.1  06:50    6.2    0.0    0.0   17.6   24.0  11:40    188
 17   13.0   17.9  13:55    9.9  06:20    5.3    0.0    0.0   17.3   24.1  10:55    226
 18   13.1   18.8  14:30    9.3  07:05    5.2    0.0    0.0   18.8   29.2  13:45    237
 19   11.4   15.5  13:10    8.2  00:00    6.9    0.0    0.0   18.9   27.6  10:15    230
 20   11.2   16.7  14:15    7.1  05:10    7.1    0.0    0.0   14.4   21.7  14:25    201
 21   12.5   19.1  13:50    8.7  06:35    5.8    0.0    0.0   14.2   19.7  11:10    230
 22   11.5   16.9  14:50    8.2  07:10    6.8    0.0    0.0   16.9   24.7  12:30    222
 23   11.8   18.0  14:55    7.6  06:55    6.5    0.0    0.0   14.0   21.1  10:20    218
 24   12.7   18.6  13:55    8.7  04:35    5.6    0.0    0.0   15.9   22.0  14:00    205
 25   14.5   22.7  13:55    9.2  04:25    3.8    0.0    0.0   15.1   24.1  12:45    226
 26   13.4   18.2  13:10   10.2  00:00    4.9    0.0    0.0   16.8   22.4  09:20    220
 27   12.7   18.5  14:05    8.7  06:20    5.6    0.0    0.0   15.9   20.4  11:40    223
 28   13.4   20.3  13:45    9.0  04:05    4.9    0.0    0.0   17.0   25.6  12:30    220
 29   13.1   19.1  14:10    8.8  03:30    5.2    0.0    0.0   15.2   22.9  15:10    206
 30   14.1   19.9  15:25   10.2  04:35    4.3    0.0    0.0   14.1   20.1  09:40    212
 31   13.8   20.6  12:25    9.9  23:55    4.5    0.0    0.0   18.3   26.7  14:25    221
---------------------------------------------------------------------------------------
      12.6   22.7     25    7.1     20  176.2    0.0    0.0   16.1   29.2     18    226
    
